trip,flight,route,departure,arrival,supplierconfirmationnumber,bookingsiteconfirmationnumber,agencyconfirmationnumber,ticketnumber,purpose,aircraft_registration,aircraft_type,seat,class,notes,cost
EUC Trip #70,QF819,CBR-MEL,2017-10-27T17:00:00+11:00,2017-10-27T18:10:00+11:00,V9JTVH,L1MXFG,,,L,,73H,,Economy - H,,AUD 958.96
EUC Trip #72,QF742,MEL-CBR,2017-11-13T18:30:00+11:00,2017-11-13T19:35:00+11:00,QKWRH4,C1WQB0,,,L,,73H,,Economy - S,,AUD 600.99
EUC Trip #72,QF819,CBR-MEL,2017-11-16T17:00:00+11:00,2017-11-16T18:10:00+11:00,QKWRH4,C1WQB0,,,L,,73H,,Economy - M,,AUD 600.99
EUC Trip #73,QF742,MEL-CBR,2017-11-27T18:30:00+11:00,2017-11-27T19:35:00+11:00,QL5Q2Q,C28CXW,,,L,,73H,,Economy - Q,,AUD 673.48
EUC Trip #73,QF819,CBR-MEL,2017-11-30T17:00:00+11:00,2017-11-30T18:10:00+11:00,QL5Q2Q,C28CXW,,,L,,73H,,Economy - H,,AUD 673.48
EUC Trip #74,QF814,MEL-CBR,2017-12-07T09:00:00+11:00,2017-12-07T10:05:00+11:00,MMRGMM,JD6NXX,,,L,,73H,,Economy - N,,AUD 618.30
EUC Trip #74,QF833,CBR-MEL,2017-12-08T18:35:00+11:00,2017-12-08T19:45:00+11:00,MMRGMM,JD6NXX,,,L,,73H,,Economy - K,,AUD 618.30
EUC Trip #75,QF1536,MEL-CBR,2017-12-11T17:45:00+11:00,2017-12-11T18:50:00+11:00,VBMBOW,4MWJVG,,,L,,717,6D,Economy - N,,AUD 562.85
EUC Trip #75,QF815,CBR-MEL,2017-12-15T15:00:00+11:00,2017-12-15T16:10:00+11:00,VBMBOW,4MWJVG,,,L,,73H,6D,Economy - M,,AUD 562.85
EUC Trip #76,QF819,CBR-MEL,2018-01-18T17:00:00+11:00,2018-01-18T18:10:00+11:00,K4TULU,,K4TULU,081-5795109540,L,,73H,6F,FLEX,Fare Basis Code: MPTLDS18;,349.24 AUD
EUC Trip #77,QF804,MEL-CBR,2018-01-22T07:00:00+11:00,2018-01-22T08:05:00+11:00,RFHNWX,,RFHNWX,081-5795265739,L,,73H,,Red e-Deal,,645.61 AUD
EUC Trip #77,QF815,CBR-MEL,2018-01-24T15:00:00+11:00,2018-01-24T16:10:00+11:00,RFHNWX,,RFHNWX,081-5795265739,L,,73H,,FLEX,,645.61 AUD
EUC Trip #77,QF819,CBR-MEL,2018-01-24T17:00:00+11:00,2018-01-24T18:10:00+11:00,RFHNWX,,RFHNWX,081-5795265739,L,,73H,7F,FLEX,Fare Basis Code: MPTLDS18;,645.61 AUD
EUC Trip #78,QF814,MEL-CBR,2018-02-06T09:00:00+11:00,2018-02-06T10:05:00+11:00,VQBFAV,,VQBFAV,,L,,73H,,FLEX,Fare Basis Code: MPTLDS18;,828.72 AUD
EUC Trip #78,QF2133,CBR-MEL,2018-02-09T16:20:00+11:00,2018-02-09T17:35:00+11:00,VQBFAV,,VQBFAV,,L,,DH4,,FLEX,Fare Basis Code: HPTLDS18;,828.72 AUD
EUC Trip #79,QF814,MEL-CBR,2018-02-12T09:00:00+11:00,2018-02-12T10:05:00+11:00,SYJ2YB,,SYJ2YB,081-5795637394,L,,73H,,FLEX,Fare Basis Code: KPTLDS18;,818.16 AUD
EUC Trip #79,QF819,CBR-MEL,2018-02-13T17:00:00+11:00,2018-02-13T18:10:00+11:00,SYJ2YB,,SYJ2YB,081-5795637394,L,,73H,,FLEX,Fare Basis Code: KPTLDS18;,818.16 AUD
EUC Trip #80,QF814,MEL-CBR,2018-02-20T09:00:00+11:00,2018-02-20T10:05:00+11:00,VSQD98,,VSQD98,081-5795450256,L,,73H,,Red e-Deal,Fare Basis Code: SPTLDS18;,731.23 AUD
EUC Trip #80,QF819,CBR-MEL,2018-02-22T17:00:00+11:00,2018-02-22T18:10:00+11:00,VSQD98,,VSQD98,081-5795450256,L,,73H,,FLEX,Fare Basis Code: HPTLDS18;,731.23 AUD
EUC Trip #81,QF2130,MEL-CBR,2018-03-05T12:35:00+11:00,2018-03-05T13:45:00+11:00,WYA87R,,WYA87R,081-5795545642,L,,DH4,,Red e-Deal,Fare Basis Code: SPTLDS18;,
EUC Trip #81,QF2133,CBR-MEL,2018-03-08T16:20:00+11:00,2018-03-08T17:35:00+11:00,,,WYA87R,081-5795545642,L,,DH4,,FLEX,Fare Basis Code: HPTLDS18;,
EUC Trip #82,QF814,MEL-CBR,2018-03-26T09:00:00+11:00,2018-03-26T10:05:00+11:00,U4RE4V,,U4RE4V,081-5795741977,L,,73H,,Red e-Deal,Fare Basis Code: VPTLDS18;,708.26 AUD
EUC Trip #82,QF819,CBR-MEL,2018-03-28T17:10:00+11:00,2018-03-28T18:20:00+11:00,U4RE4V,,U4RE4V,081-5795741977,L,,73H,,FLEX,Fare Basis Code: KPTLDS18;,708.26 AUD
Innisfail Easter 2018,QF614,MEL-BNE,2018-03-29T11:10:00+11:00,2018-03-29T12:20:00+10:00,JOURTI,JOURTI,,081-2478689982,L,,73H,,Economy,,
Innisfail Easter 2018,QF784,BNE-CNS,2018-03-29T14:10:00+10:00,2018-03-29T16:35:00+10:00,JOURTI,JOURTI,,081-2478689982,L,,73H,,Economy,,
Innisfail Easter 2018,QF1709,CNS-BNE,2018-04-03T10:40:00+10:00,2018-04-03T12:45:00+10:00,JOURTI,JOURTI,,081-2478689982,L,,717,,Business,,
Innisfail Easter 2018,QF625,BNE-MEL,2018-04-03T15:00:00+10:00,2018-04-03T17:25:00+10:00,JOURTI,JOURTI,,081-2478689982,L,,73H,,Business,,
EUC Trip #83,QF814,MEL-CBR,2018-04-04T09:00:00+10:00,2018-04-04T10:05:00+10:00,WQ6JRS,,WQ6JRS,081-5796248836,L,,73H,6D,Red e-Deal,Fare Basis Code: NPTLDS18;,699.37 AUD
EUC Trip #83,QF819,CBR-MEL,2018-04-06T17:10:00+10:00,2018-04-06T18:20:00+10:00,WQ6JRS,,WQ6JRS,081-5796248836,L,,73H,6D,FLEX,Fare Basis Code: HPTLDS18;,699.37 AUD
GSU Trip #1,QF834,MEL-CBR,2018-04-16T17:10:00+10:00,2018-04-16T18:15:00+10:00,RPVXRK,,RPVXRK,081-2572696085,L,,73H,,Red e-Deal,,857.19 AUD
GSU Trip #1,QF822,MEL-CBR,2018-04-16T19:30:00+10:00,2018-04-16T20:35:00+10:00,,,RPVXRK,081-2572696085,L,,73H,,Red e-Deal,,857.19 AUD
GSU Trip #1,QF2133,CBR-MEL,2018-04-19T16:20:00+10:00,2018-04-19T17:35:00+10:00,,,RPVXRK,081-2572696085,L,,DH4,,FLEX Y/B,,857.19 AUD
GSU Trip #1,QF819,CBR-MEL,2018-04-19T17:10:00+10:00,2018-04-19T18:20:00+10:00,,,RPVXRK,081-2572696085,L,,73H,,FLEX Y/B,,857.19 AUD
Innisfail May 2018,QF408,MEL-SYD,2018-05-05T07:00:00+10:00,2018-05-05T08:25:00+10:00,WTWSUC,WTWSUC,,081-2482338431,L,,332,,Economy,,1301.03
Innisfail May 2018,QF922,SYD-CNS,2018-05-05T09:40:00+10:00,2018-05-05T12:50:00+10:00,WTWSUC,WTWSUC,,081-2482338431,L,,73H,,Economy,,1301.03
Innisfail May 2018,QF925,CNS-SYD,2018-05-12T11:30:00+10:00,2018-05-12T14:25:00+10:00,WTWSUC,WTWSUC,,081-2482338431,L,,73H,,Economy,,1301.03
Innisfail May 2018,QF443,SYD-MEL,2018-05-12T15:00:00+10:00,2018-05-12T16:35:00+10:00,WTWSUC,WTWSUC,,081-2482338431,L,,332,,Economy,,1301.03
GSU Trip #2,QF814,MEL-CBR,2018-05-14T09:00:00+10:00,2018-05-14T10:05:00+10:00,PBH5U8,,PBH5U8,081-2572876629,L,,73H,,Red e-Deal,Fare Basis Code: LPTLDS18;,644.84 AUD
GSU Trip #2,QF815,CBR-MEL,2018-05-18T15:00:00+10:00,2018-05-18T16:10:00+10:00,PBH5U8,,PBH5U8,081-2572876629,L,,73H,,Red e-Deal,Fare Basis Code: VPTLDS18;,644.84 AUD
GSU Trip #3,QF804,MEL-CBR,2018-06-04T07:00:00+10:00,2018-06-04T08:05:00+10:00,KCKFC2,,KCKFC2,081-2573147566,L,,73H,,FLEX,Fare Basis Code: HPTLDS18;,900.75 AUD
GSU Trip #3,QF819,CBR-MEL,2018-06-06T17:10:00+10:00,2018-06-06T18:20:00+10:00,KCKFC2,,KCKFC2,081-2573147566,L,,73H,,FLEX,Fare Basis Code: KPTLDS18;,900.75 AUD
Tasmania June 2018,SH922,MEB-KNS,2018-06-07T09:15:00+10:00,2018-06-07T10:00:00+10:00,304251,,,0 0038 5716,L,,,,,,
Tasmania June 2018,SH893,KNS-LST,2018-06-08T09:05:00+10:00,2018-06-08T10:35:00+10:00,304252,,,0 0038 5717,L,,,,,,
Tasmania June 2018,QF1016,HBA-MEL,2018-06-11T17:15:00+10:00,2018-06-11T18:30:00+10:00,VZAM4I,VZAM4I,,081-2481551995,L,,73H,,Economy,,469.4
Trip from Melbourne to Canberra,QF804,MEL-CBR,2018-07-02T07:00:00+10:00,2018-07-02T08:05:00+10:00,Q6U54O,,Q6U54O,081-2573382385,B,,73H,,FLEX,Fare Basis Code: KPTLDS18;,652.50 AUD
Trip from Melbourne to Canberra,QF815,CBR-MEL,2018-07-05T15:00:00+10:00,2018-07-05T16:10:00+10:00,Q6U54O,,Q6U54O,081-2573382385,B,,73H,,Red e-Deal,Fare Basis Code: NPTLDS18;,652.50 AUD
Trip from Melbourne to Orlando,QF402,MEL-SYD,2018-09-22T07:45:00+10:00,2018-09-22T09:10:00+10:00,WNTOCA,,WNTOCA,081-2572746678,B,,73H,2F,Business,,11362.39 AUD
Trip from Melbourne to Orlando,QF7,SYD-DFW,2018-09-22T12:35:00+10:00,2018-09-22T13:00:00-05:00,WNTOCA,,WNTOCA,081-2572746678,B,,388,12E,Business Saver,,11362.39 AUD
Trip from Melbourne to Orlando,QF4510,DFW-MCO,2018-09-22T14:30:00-05:00,2018-09-22T18:06:00-04:00,WNTOCA,,WNTOCA,081-2572746678,B,,321,1C,DISCOUNT BUSINESS,Operated by AA (AA2117 in 2023);  American Airlines premier Airbus A321 Transcontinental (32B),11362.39 AUD
Trip from Melbourne to Orlando,QF3068,MCO-DFW,2018-09-29T09:09:00-04:00,2018-09-29T11:03:00-05:00,WNTOCA,,WNTOCA,081-2572746678,B,,321,1C,DISCOUNT BUSINESS,,11362.39 AUD
Trip from Melbourne to Orlando,QF8,DFW-SYD,2018-09-29T21:50:00-05:00,2018-10-01T06:05:00+10:00,WNTOCA,,WNTOCA,081-2572746678,B,,388,17F,Business Saver,,11362.39 AUD
Trip from Melbourne to Orlando,QF419,SYD-MEL,2018-10-01T09:00:00+10:00,2018-10-01T10:35:00+10:00,WNTOCA,,WNTOCA,081-2572746678,B,,332,2A,Business,,11362.39 AUD
