trip,flight,route,departure,arrival,supplierconfirmationnumber,bookingsiteconfirmationnumber,agencyconfirmationnumber,ticketnumber,purpose,aircraft_registration,aircraft_type,seat,class,notes,cost
2012 Raelenes Birthday,DJ824,SYD-MEL,2012-02-24T09:00:00+11:00,2012-02-24T10:35:00+11:00,,,,,L,VH-VUA,738,5C,,Flying to Adelaide for Raelenes Birthday.,
2012 Raelenes Birthday,DJ231,MEL-ADL,2012-02-24T15:10:00+11:00,2012-02-24T16:00:00+10:30,,,,,L,VH-VBN,73G,10E,,Flying to Adelaide for Raelenes Birthday; Raelene was in 10F.,
2012 Raelenes Birthday,QF766,ADL-SYD,2012-02-26T17:45:00+10:30,2012-02-26T20:10:00+11:00,,,,,L,VH-VYA,738,12D,,Flying to Adelaide for Raelenes Birthday.,
2012 Raelenes Birthday,QF807,SYD-CBR,2012-02-26T21:10:00+11:00,2012-02-26T22:05:00+11:00,,,,,L,VH-TJH,734,14C,,Flying to Adelaide for Raelenes Birthday.,
Melbourne Trip,QF815,CBR-MEL,2012-04-05T15:00:00+10:00,2012-04-05T16:10:00+10:00,,,,,L,,,,,,
Melbourne Trip,QF440,MEL-SYD,2012-04-26T14:30:00+10:00,2012-04-26T15:55:00+10:00,,,,,L,,,,,,
Melbourne Trip,QF879,SYD-MEL,2012-04-26T17:30:00+10:00,2012-04-26T18:25:00+10:00,,,,,L,,,,,,
STM02,QF952,CBR-BNE,2012-05-29T11:05:00+10:00,2012-05-29T12:50:00+10:00,,,,,B,VH-VYL,738,2D,,,
STM02,IE701,BNE-HIR,2012-05-30T09:30:00+10:00,2012-05-30T13:45:00+11:00,,,,,B,H4-BUS,320,3C,,The President of the Solomon Islands was sitting in 1C; The First Lady of the Solomon Islands was sitting in 1A.,
STM02,IE700,HIR-BNE,2012-06-10T15:00:00+11:00,2012-06-10T17:15:00+10:00,,,,,B,H4-BUS,320,1C,,,
STM02,QF959,BNE-CBR,2012-06-10T19:05:00+10:00,2012-06-10T20:55:00+10:00,,,,,B,VH-TJR,734,1D,,,
STM03,QF1460,CBR-SYD,2012-06-13T06:20:00+10:00,2012-06-13T07:10:00+10:00,,,,,B,,DH4,13A,,,
STM03,NZ102,SYD-AKL,2012-06-13T09:40:00+10:00,2012-06-13T14:40:00+12:00,,,,,B,ZK-NCI,763,4A,,,
STM03,NZ294,AKL-APW,2012-06-13T19:50:00+12:00,2012-06-13T00:40:00+13:00,,,,,B,ZK-NCL,763,4A,,,
STM03,NZ291,APW-AKL,2012-06-21T01:50:00+13:00,2012-06-21T05:00:00+12:00,,,,,B,ZK-NCL,763,2E,,,
STM03,NZ101,AKL-SYD,2012-06-21T07:00:00+12:00,2012-06-21T08:30:00+10:00,,,,,B,ZK-NCK,763,4K,,,
STM03,QF1473,SYD-CBR,2012-06-21T10:40:00+10:00,2012-06-21T11:30:00+10:00,,,,,B,,DH4,12B,,,
Manley Wedding,QF948,CBR-BNE,2012-06-30T06:05:00+10:00,2012-06-30T08:10:00+10:00,,,,,L,VH-VXQ,738,5D,,,
Manley Wedding,QF784,BNE-CNS,2012-07-03T14:00:00+10:00,2012-07-03T16:25:00+10:00,,,,,L,VH-VXD,738,14D,,,
Manley Wedding,QF925,CNS-SYD,2012-07-09T13:10:00+10:00,2012-07-09T16:05:00+10:00,,,,,L,,,25F,,,
Manley Wedding,QF779,SYD-CBR,2012-07-09T16:55:00+10:00,2012-07-09T17:50:00+10:00,,,,,L,VH-VYG,738,11D,,,
2012 Melbourne Trip 1,QF763,CBR-MEL,2012-07-14T10:15:00+10:00,2012-07-14T11:25:00+10:00,,,,,L,VH-TJR,734,,,,
2012 Melbourne Trip 1,QF850,MEL-CBR,2012-07-16T11:10:00+10:00,2012-07-16T12:15:00+10:00,,,,,L,VH-TJK,734,,,,
STM04,QF763,CBR-MEL,2012-07-23T10:15:00+10:00,2012-07-23T11:25:00+10:00,,,,,B,VH-VYK,738,,,,
STM04,QF9,MEL-SIN,2012-07-23T15:30:00+10:00,2012-07-23T21:25:00+08:00,,,,,B,VH-OQK,388,,,,
STM04,QF9,SIN-LHR,2012-07-23T23:05:00+08:00,2012-07-23T05:40:00+01:00,,,,,B,VH-OQK,388,,,,
STM04,BA500,LHR-LIS,2012-07-24T07:40:00+01:00,2012-07-24T10:15:00+01:00,,,,,B,G-EUUZ,322,,,,
STM04,IB3109,LIS-MAD,2012-08-01T12:35:00+01:00,2012-08-01T14:50:00+02:00,,,,,B,EC-LKG,322,,,,
STM04,SN3722,MAD-BRU,2012-08-08T12:20:00+02:00,2012-08-08T14:40:00+02:00,,,,,B,OO-SSQ,319,,,,
STM04,KL1726,BRU-AMS,2012-08-20T14:40:00+02:00,2012-08-20T15:40:00+02:00,,,,,B,ZT-023,F70,,,,
STM04,LH197,TXL-FRA,2012-09-12T19:10:00+02:00,2012-09-12T20:20:00+02:00,,,,,B,,,,,,
STM04,QF6,FRA-SIN,2012-09-12T22:15:00+02:00,2012-09-12T16:40:00+08:00,,,,,B,VH-OJE,744,,,,
STM04,QF6,SIN-SYD,2012-09-13T20:30:00+08:00,2012-09-13T06:05:00+10:00,,,,,B,VH-OJE,744,,,,
STM04,QF787,SYD-CBR,2012-09-14T08:20:00+10:00,2012-09-14T09:15:00+10:00,,,,,B,,737,4D,,,
2012 Melbourne Trip 2,QF763,CBR-MEL,2012-09-22T10:15:00+10:00,2012-09-22T11:25:00+10:00,,,,,L,,,,,Registration JY?,
2012 Melbourne Trip 2,QF822,MEL-CBR,2012-09-24T19:00:00+10:00,2012-09-24T20:05:00+10:00,,,,,L,,,,,,
Mileage Run,QF1466,CBR-SYD,2012-09-30T09:15:00+10:00,2012-09-30T10:10:00+10:00,,,,,L,,,11B,Y,flight times based on 2017 schedule and boarding times,
Mileage Run,QF520,SYD-BNE,2012-09-30T11:05:00+10:00,2012-09-30T12:35:00+10:00,,,,,L,,,4A,C,flight times based on 2017 schedule and boarding times,
Mileage Run,QF537,BNE-SYD,2012-09-30T16:10:00+10:00,2012-09-30T17:40:00+10:00,,,,,L,,,2K,C,flight times based on 2017 schedule and boarding times,
Mileage Run,QF883,SYD-CBR,2012-09-30T19:30:00+10:00,2012-09-30T20:25:00+10:00,,,,,L,,,2D,C,flight times based on 2017 schedule and boarding times,
STM05,QF704,CBR-SYD,2012-10-02T09:55:00+10:00,2012-10-02T10:45:00+10:00,,,,,B,,737,,,,
STM05,QF1,SYD-SIN,2012-10-02T16:10:00+10:00,2012-10-02T22:30:00+08:00,,,,,B,VH-OQG,388,,,,
STM05,QF1,SIN-LHR,2012-10-09T23:59:00+08:00,2012-10-09T06:35:00+01:00,,,,,B,VH-OQH,388,,,,
STM05,KM101,LHR-MLA,2012-10-10T10:50:00+01:00,2012-10-10T15:00:00+02:00,,,,,B,,,,,,
STM05,LH1277,MLA-FRA,2012-10-17T12:45:00+02:00,2012-10-17T15:30:00+02:00,,,,,B,,,,,,
STM05,LH6006,FRA-ZAG,2012-10-17T18:00:00+02:00,2012-10-17T19:25:00+02:00,,,,,B,,320,,,,
STM05,LH1715,ZAG-MUC,2012-10-24T17:15:00+02:00,2012-10-24T18:30:00+02:00,,,,,B,,,,,,
STM05,LH1726,MUC-BEG,2012-10-24T19:35:00+02:00,2012-10-24T21:05:00+02:00,,,,,B,D-AEBF,E90,,,,
STM05,JU70,BEG-LCA,2012-10-31T17:30:00+01:00,2012-10-31T21:00:00+02:00,,,,,B,YU-ANI,733,,,,
STM05,CY312,LCA-ATH,2012-11-14T10:45:00+02:00,2012-11-14T12:30:00+02:00,,,,,B,5B-DCM,320,,,,
STM05,TK1850,ATH-IST,2012-11-14T14:50:00+02:00,2012-11-14T16:10:00+02:00,,,,,B,TC-JLN,319,,,,
STM05,TK2170,IST-ESB,2012-11-14T18:00:00+02:00,2012-11-14T19:05:00+02:00,,,,,B,TC-JPH,320,,,,
STM05,YB495,ESB-CKZ,2012-11-21T23:00:00+02:00,2012-11-21T00:30:00+02:00,,,,,B,TC-YAD,AT7,,,,
STM05,YB496,CKZ-ESB,2012-11-28T07:00:00+02:00,2012-11-28T08:30:00+02:00,,,,,B,TC-YAB,AT7,,,,
STM05,TK2147,ESB-IST,2012-11-28T14:00:00+02:00,2012-11-28T15:05:00+02:00,,,,,B,RI?,321,,,,
STM05,BA677,IST-LHR,2012-11-28T16:40:00+02:00,2012-11-28T18:55:00+00:00,,,,,B,,767,,,Registration NWX?,
STM05,QF2,LHR-SIN,2012-11-28T21:30:00+00:00,2012-11-28T18:20:00+08:00,,,,,B,,,,,,
STM05,QF2,SIN-SYD,2012-11-29T19:50:00+08:00,2012-11-29T06:50:00+11:00,,,,,B,,,,,,
STM05,QF787,SYD-CBR,2012-11-30T08:20:00+11:00,2012-11-30T09:15:00+11:00,,,,,B,,737,,,Registration JJ?,
Christmas 2012,QF811,CBR-MEL,2012-12-04T09:10:00+11:00,2012-12-04T10:20:00+11:00,,,,,L,VH-OGT,763,2A,,Alone in Business!,
Christmas 2012,ZL3573,MEL-BWT,2012-12-07T14:50:00+11:00,2012-12-07T16:00:00+11:00,,,,,L,,,1C,,,
Christmas 2012,DJ1337,HBA-MEL,2012-12-09T22:00:00+11:00,2012-12-09T23:15:00+11:00,,,,,L,VH-VBY,73G,1A,,,
Christmas 2012,QF822,MEL-CBR,2012-12-15T19:00:00+11:00,2012-12-15T20:05:00+11:00,,,,,L,VH-VZA,738,3A,,,
Christmas 2012,QF856,MEL-CBR,2012-12-24T14:15:00+11:00,2012-12-24T15:20:00+11:00,,,,,L,VH-TJL,734,12A,,,
Christmas 2012,QF795,CBR-MEL,2012-12-29T06:40:00+11:00,2012-12-29T07:50:00+11:00,,,,,L,VH-VXE,738,13D,,,
Christmas 2012,QF2051,MEL-DPO,2012-12-29T08:30:00+11:00,2012-12-29T09:35:00+11:00,,,,,L,,DH4,1B,,,
Christmas 2012,QF2058,DPO-MEL,2012-12-30T17:10:00+11:00,2012-12-30T18:20:00+11:00,,,,,L,VH-QOP,DH4,1B,,,
Christmas 2012,QF822,MEL-CBR,2012-12-30T19:00:00+11:00,2012-12-30T20:05:00+11:00,,,,,L,VH-TJZ,734,1F,,Op-Up to Business,
Christmas 2012,QF763,CBR-MEL,2013-01-25T10:20:00+11:00,2013-01-25T11:30:00+11:00,,,,,L,VH-TJY,734,1A,,Business class,
Christmas 2012,QF812,MEL-CBR,2013-01-29T13:15:00+11:00,2013-01-29T14:20:00+11:00,,,,,L,VH-TJS,734,9D,,,
STM06,QF564,CBR-SYD,2013-02-05T08:55:00+11:00,2013-02-05T09:50:00+11:00,,,,,B,,,,,Registration JY?,
STM06,SQ232,SYD-SIN,2013-02-05T12:15:00+11:00,2013-02-05T17:20:00+08:00,,,,,B,,,,,Registration KK?,
STM06,SQ446,SIN-DAC,2013-02-05T18:45:00+08:00,2013-02-05T20:50:00+06:00,,,,,B,,,,,Registration TA?,
STM06,9W271,DAC-DEL,2013-02-13T09:20:00+06:00,2013-02-13T11:30:00+05:30,,,,,B,VT-JBJ,738,,,,
STM06,9W262,DEL-KTM,2013-02-13T12:40:00+05:30,2013-02-13T14:40:00+05:45,,,,,B,VT-JBN,738,,,,
STM06,9W265,KTM-BOM,2013-02-19T14:25:00+05:45,2013-02-19T17:10:00+05:30,,,,,B,,,,,,
STM06,9W256,BOM-CMB,2013-02-20T02:10:00+05:30,2013-02-20T04:45:00+05:30,,,,,B,VT-JGQ,738,,,,
STM06,UL898,CMB-BKK,2013-03-01T13:55:00+05:30,2013-03-01T18:50:00+07:00,,,,,B,4R-ALJ,332,,,,
STM06,TG317,BKK-BOM,2013-03-05T18:45:00+07:00,2013-03-05T22:00:00+05:30,,,,,B,,744,,,HS-TGK,
STM06,9W467,BOM-MAA,2013-03-13T15:05:00+05:30,2013-03-13T17:05:00+05:30,,,,,B,,737,,,Registration FD?,
STM06,9W836,MAA-DEL,2013-03-19T08:30:00+05:30,2013-03-19T11:15:00+05:30,,,,,B,,737,,,Registration BU?,
